Codigo_Produto;Descricao_Pedido;Categoria;Quantidade_Exemplo;Peso_Item_Exemplo_kg;Volume_Item_Exemplo_m3;Base_Estimativa;Confianca_Estimativa;Aviso
18910;KIT COZIMAX MAD ONIX PRETO;KIT_ACESSORIO;1.0;0.3;0.0012;ANALOGO:20675 KIT BELLARENZO STANDER BELLARENZO sim=0.31;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22822;KIT COZIMAX MAD AGATA 45 JQB;KIT_ACESSORIO;2.0;0.6;0.0024;ANALOGO:20675 KIT BELLARENZO STANDER BELLARENZO sim=0.33;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23409;KIT ICO METAIS BANHEIRO 5 PECAS ROUND ALUMINIO 3030 CS PT;KIT_ACESSORIO;1.0;0.3;0.0012;ANALOGO:20675 KIT BELLARENZO STANDER BELLARENZO sim=0.29;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
12310;"CHUVEIRO ASTRA ABS CROM VC43 ""4""";OUTROS;1.0;1.008;0.0064;"FALLBACK_MEDIANA_DIRETOS:1.008kg;0.006400m3";BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
13082;CONJ CELITE LIKE BCO ACOP ECOFLUSH COMPLETO;OUTROS;1.0;31.42;0.178;ANALOGO:5648 CONJ CELITE ACOP SAVEIRO BRANCO sim=0.54;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
13793;FECH. SOPRANO EXTERNE POP LINE CROMADA SLIM;OUTROS;1.0;1.008;0.0064;"FALLBACK_MEDIANA_DIRETOS:1.008kg;0.006400m3";BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
19690;GAVETA TELHALUZ P/CHURRASQUEIRA INOX MEDIA UNI;OUTROS;1.0;0.25;0.000768;ANALOGO:8312 VALVULA GHEL PLUS INOX 3. 1/2 sim=0.43;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
21919;SOPRADOR GARTHEN GSF-2000 - DE FOLHAS 2000W 220V;OUTROS;1.0;1.008;0.0064;"FALLBACK_MEDIANA_DIRETOS:1.008kg;0.006400m3";BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22653;CONJ ELIETE BACIA MONOBLOCO TURIN BR 3/6L;OUTROS;1.0;31.42;0.178;ANALOGO:5648 CONJ CELITE ACOP SAVEIRO BRANCO sim=0.50;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23040;METALON MAIA 20 X 20 - 0.9;OUTROS;8.0;10.0;0.0512;ANALOGO:21283 FORRO NOVAFORMA GEMINI 200 X 8 X 4000 sim=0.43;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23449;LINHA P/ PEDREIRO TREVO 100 MT ( LARANJA);OUTROS;1.0;1.008;0.0064;"FALLBACK_MEDIANA_DIRETOS:1.008kg;0.006400m3";BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23548;CONJUNTO CHURRASQUEIRA PEDRARTE MARFIM 65CM GRANDE;OUTROS;1.0;1.008;0.0064;"FALLBACK_MEDIANA_DIRETOS:1.008kg;0.006400m3";BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23883;TELHA FORTLEV COLONIAL 1,98 X 0,88 6 OND MARFIM;OUTROS;1.0;10.78;0.059;ANALOGO:3792 TELA COLUNA 8,00MM 7 X 14CM 6M AÇO CEARENSE sim=0.49;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
24332;ESPUMA KALA EXPANSIVA PU A340G/500ML;OUTROS;2.0;2.016;0.0128;"FALLBACK_MEDIANA_DIRETOS:1.008kg;0.006400m3";BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
24617;DISJUNTOR WEG UNIPOLAR DIN CURVA B 25A 3KA;OUTROS;1.0;1.008;0.0064;"FALLBACK_MEDIANA_DIRETOS:1.008kg;0.006400m3";BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
24702;CABO SIL FLEX 2,5MM AZUL;OUTROS;100.0;950.0;0.295;ANALOGO:3426 CANO KRONA AGUA SOLD 25MM sim=0.45;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
24778;ARANDELA NITROLUX ALM 203A 6W 3000K;OUTROS;4.0;4.032;0.0256;"FALLBACK_MEDIANA_DIRETOS:1.008kg;0.006400m3";BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
24793;CABO SIL FLEX 6,0MM VERDE;OUTROS;3.0;3.024;0.0192;"FALLBACK_MEDIANA_DIRETOS:1.008kg;0.006400m3";BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
3034;ADAPTADOR KRONA SOLD CURTO 25 X 3/4;OUTROS;2.0;19.0;0.0059;ANALOGO:3426 CANO KRONA AGUA SOLD 25MM sim=0.53;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
3360;CURVA KRONA ELETR. 180° 3/4;OUTROS;1.0;3.0;0.0471;ANALOGO:12673 CANO KRONA ESGOTO 100MM sim=0.58;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
3448;CURVA KRONA ELETRODUTO 90° 3/4 KRONA;OUTROS;1.0;3.0;0.0471;ANALOGO:12673 CANO KRONA ESGOTO 100MM sim=0.52;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
5519;ELETR. KRONA RIGIDO ANTICHAMA 3/4;OUTROS;1.0;0.168;0.0012;ANALOGO:15171 ENGATE KRONA 40CM sim=0.45;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
5653;CONJ CELITE SAVEIRO OCRE 6L CARAMELO;OUTROS;1.0;31.42;0.178;ANALOGO:5648 CONJ CELITE ACOP SAVEIRO BRANCO sim=0.69;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
5728;ADAPTADOR KRONA SOLD CURTO 40 X 1.1/4;OUTROS;4.0;12.0;0.1884;ANALOGO:12673 CANO KRONA ESGOTO 100MM sim=0.50;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
6165;LUVA KRONA ELETRODUTO ROSC 3/4;OUTROS;2.0;6.0;0.0942;ANALOGO:12673 CANO KRONA ESGOTO 100MM sim=0.49;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
7363;FORRO FORTLEV PVC 200 X 8 X 6000MM BRANCO;OUTROS;24.0;30.0;0.1536;ANALOGO:21283 FORRO NOVAFORMA GEMINI 200 X 8 X 4000 sim=0.62;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
18935;PORTA METALFLEX VENEZIANA SPP 0,60 X 2,10 BRANCA DIR;PORTA;1.0;11.8;0.047;ANALOGO:20937 PORTA METALFLEX POSTIGO SPP 080 X 210 VL BRANCA ESQ sim=0.74;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
18941;PORTA METALFLEX VENEZIANA SPP 0,90 X 2,10 BRANCA DIR;PORTA;1.0;11.8;0.047;ANALOGO:20937 PORTA METALFLEX POSTIGO SPP 080 X 210 VL BRANCA ESQ sim=0.74;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
18942;PORTA METALFLEX VENEZIANA SPP 0,90 X 2,10 BRANCA ESQ;PORTA;1.0;11.8;0.047;ANALOGO:20937 PORTA METALFLEX POSTIGO SPP 080 X 210 VL BRANCA ESQ sim=0.80;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
18578;REJUNTE QUARTZOLIT PORCELANATOS BRANCO 1KG;REJUNTE;5.0;5.0;0.00456349;ANALOGO:11906 REJUNTE QUARTZOLIT P/PORCELANATO CZ PLATINA 1KG FD sim=0.80;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
19719;REJUNTE QUARTZOLIT PORCELANATO CINZA ARTICO 1KG;REJUNTE;3.0;3.0;0.0027381;ANALOGO:11906 REJUNTE QUARTZOLIT P/PORCELANATO CZ PLATINA 1KG FD sim=0.80;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
20500;REJUNTE QUARTZOLIT PORCELANATOS PRETO ONIX 1KG;REJUNTE;4.0;4.0;0.00365079;ANALOGO:11906 REJUNTE QUARTZOLIT P/PORCELANATO CZ PLATINA 1KG FD sim=0.79;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
20960;REJ QUARTZOLIT CINZA ARTICO - 1KG;REJUNTE;1.0;1.0;0.00092;ANALOGO:5812 REJ QUARTZOLIT BRANCO - 1KG sim=0.79;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
3516;REJUNTE QUARTZOLIT PORCELANATO PALHA 1KG;REJUNTE;20.0;20.0;0.01825397;ANALOGO:11906 REJUNTE QUARTZOLIT P/PORCELANATO CZ PLATINA 1KG FD sim=0.84;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
6794;REJ MARROM TABACO QUARTZOLIT - 1KG;REJUNTE;1.0;1.0;0.0009127;ANALOGO:17156 REJ MARROM CAFÉ QUARTZOLIT - 1KG sim=0.87;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
12505;"PISO CERBRAS AURORA BR 57 X 57 ""A""";REVESTIMENTO_M2;5.24;83.845389;0.04556522;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
13482;"PISO CERBRAS ATENAS CZ 57 X 57 ""A""";REVESTIMENTO_M2;39.3;628.840419;0.34173913;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
14604;"PISO CERBRAS LUMINATTO BG POLIDO 56 X 56 ""A""";REVESTIMENTO_M2;24.09;385.464776;0.20947826;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
15869;ESPACADOR CORTAG JUNTAPISO 4MM 100PÇS;REVESTIMENTO_M2;1.0;16.001028;0.00869565;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
16076;"PORC. CERBRAS TECHNATTO CREMA POLIDO 70 X 70 ""A""";REVESTIMENTO_M2;44.0;704.045253;0.3826087;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
16580;"PORC. CERBRAS ZEUS MATE 70 X 70 ""A""";REVESTIMENTO_M2;42.0;672.043196;0.36521739;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
18032;"PORC. CERBRAS ICARO POLIDO HD 70 X 70 ""A""";REVESTIMENTO_M2;100.0;1600.102848;0.86956522;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
18965;PORC. CERBRAS NETUNO GRIS POLIDO HD 70 X 70 A;REVESTIMENTO_M2;44.0;704.045253;0.3826087;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
19131;"PORC. ICARO MATE HD 70 X 70 ""A"" CERBRAS";REVESTIMENTO_M2;20.0;320.02057;0.17391304;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
19154;"PORC. CERBRAS OLIMPO MATE 70 X 70 ""A""";REVESTIMENTO_M2;6.0;96.006171;0.05217391;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
20471;"PORC. TECHNATO WHITE MATE 70 X 70 ""A"" CERBRAS";REVESTIMENTO_M2;34.0;544.034968;0.29565217;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
20523;PISO CERBRAS VENEZIA GRIS POLIDO HD 75 X 75 A;REVESTIMENTO_M2;20.25;324.020827;0.17608696;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22000;PORC. CERBRAS NETUNO GRIS MATTE HD 70 X 70 A;REVESTIMENTO_M2;14.0;224.014399;0.12173913;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22001;"PORC. TECHNATTO CREMA MATTE 70 X 70 ""A"" CERBRAS";REVESTIMENTO_M2;4.0;64.004114;0.03478261;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22035;REV. CARMELO FIOR KRAFT WHITE 32 X 57MM A;REVESTIMENTO_M2;12.18;194.892527;0.10591304;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22485;PISO CARMELO FIOR CRISTAL 74 X 74 MM GEORGIA PO RT A;REVESTIMENTO_M2;66.0;1056.067879;0.57391304;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22662;PISO CERBRAS LUMINATO BLANCO MATTE 75 X 75 ESTOQUE ESPECI;REVESTIMENTO_M2;4.5;72.004628;0.03913043;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22687;"PISO KARINA RET REF. 68016 ""A"" 60 X 120 POLIDO GOLD RIVER";REVESTIMENTO_M2;8.72;139.528968;0.07582609;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22765;REV. KARINA 68017 MACCHIA ORO 60 X 120 RET POLIDO;REVESTIMENTO_M2;6.54;104.646726;0.05686957;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22902;PISO CARMELO FIOR ALASKA 57 X 57MM HD A;REVESTIMENTO_M2;49.21;787.410611;0.42791304;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22914;REV. CARMELO FIOR MENFI GRIGIO PLUS 38 X 75MM A;REVESTIMENTO_M2;4.0;64.004114;0.03478261;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
